RBD,CONC_PRIO
16582,64
5440,77
9625,74
3890,87
5393,84
3248,66
16843,72
7112,64
4806,67
7775,52
9304,69
10455,62
2734,65
5130,87
374,68
377,82
536,69
6641,94
1443,71
8348,67
4808,79
178,80
10578,77
3396,69
7802,68
2736,61
2079,62
969,65
2085,71
4902,73
9583,68
799,73
7645,68
7676,63
22419,70
14678,75
1554,76
10432,65
2539,83
10105,74
2820,73
3540,88
7967,83
5601,62
1864,65
17751,70
1537,67
4172,62
8174,69
5128,72
40025,69
40133,19
2319,73
22333,77
3332,81
8375,67
2487,80
4166,71
25014,63
20215,86
13185,76
4616,85
22480,76
24201,57
17897,78
5899,87
10117,68
5003,84
5634,83
6501,75
15732,67
40399,60
8206,64
7572,61
3270,83
2825,75
24997,70
1423,82
5109,79
8417,75
7131,83
15843,63
518,66
3115,69
2921,100
2594,81
2591,86
6163,72
10842,74
1397,60
1504,69
22755,81
10126,66
1506,79
11025,83
12312,65
3833,80
669,66
22494,66
4032,85
72,45
5327,89
6585,75
7418,76
12001,77
11277,76
711,70
1664,74
6166,82
4589,63
6189,71
6230,90
1514,69
7331,71
2972,71
2942,65
4733,72
22691,60
10675,77
16410,67
4999,70
22358,66
25186,66
3940,71
22184,87
25779,64
30002,61
16491,60
1674,65
4836,64
10114,66
3048,94
3051,76
2867,65
1893,73
10457,60
4720,85
12716,65
40422,61
4165,61
22439,81
22175,75
3347,64
4162,65
26252,58
2914,79
15728,72
1016,63
5213,100
3252,80
7665,78
8236,78
4990,78
10649,69
6751,65
6785,82
22313,76
5122,83
25002,78
24885,65
2766,81
10854,67
3619,70
22527,69
22367,64
953,82
656,71
6030,84
7644,67
10792,60
17797,66
25220,72
1519,68
24946,63
5463,90
1312,77
827,75
2050,68
11509,65
3490,79
802,72
5145,88
5106,85
7009,86
12749,69
11155,62
10419,61
10592,61
22420,82
7833,64
10871,51
3685,76
17715,96
3212,80
3233,100
3230,88
3216,100
3217,85
25009,69
15757,70
5406,84
444,78
195,74
7125,74
2071,77
3673,72
22436,71
705,70
10856,62
18089,67
5140,81
5599,68
12712,72
17709,91
16589,77
5729,74
5225,86
16754,71
7614,90
11248,73
31121,81
3731,62
4613,73
13168,64
13610,50
1287,65
2553,65
3353,76
10095,70
15753,81
1966,64
16844,78
6777,79
9741,64
2391,75
10436,59
947,66
9727,62
458,68
2764,83
16695,78
25824,65
5323,83
407,67
15768,87
629,70
7339,78
7341,72
1128,71
24892,62
8339,62
20246,49
694,82
9634,72
6090,70
10398,17
16428,71
10694,16
4908,76
5580,61
8256,73
2566,67
16673,77
5897,69
32,72
3110,83
7941,80
22105,82
5093,69
5215,72
18244,78
9889,63
5001,65
22462,77
1323,74
12023,84
5730,84
10402,79
4174,66
11199,69
1123,69
1121,67
5288,88
1211,65
3138,82
1969,63
33,72
12243,69
25303,64
7077,60
6886,88
3704,89
4967,66
4898,64
18087,62
6898,74
4992,74
3545,88
13420,65
7449,69
5575,62
20071,84
10458,69
